block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,model_name,model
0,-0.4225315575319897,-0.5102553996835831,4.044151463473392,0.9475006743459496,0.3000741959316165,vgg19_block_metrics_batch8,
1,-0.5875552920527928,-0.5114575568098048,4.044151463473392,-0.4866710864097312,-0.1388346480573863,vgg19_block_metrics_batch8,
2,2.932863812065395,-0.4865481540032422,4.044151463473392,2.575811299700804,1.0403767507299269,vgg19_block_metrics_batch8,
3,-0.5875552920527928,-0.5114575568098048,4.044151463473392,-0.4863162639177417,-0.1439669543871174,vgg19_block_metrics_batch8,
4,-0.5875552920527928,-0.5114575568098048,0.5233085065714301,-0.4010038773198091,-0.2088118641262832,vgg19_block_metrics_batch8,
5,1.1711197640967514,-0.4616564299779475,1.6969228255387507,0.8645046066473873,0.1519386589805512,vgg19_block_metrics_batch8,
6,-0.5890897879623423,-0.5114575568098048,1.6969228255387507,-0.5784944281577978,-0.6653496949534526,vgg19_block_metrics_batch8,
7,2.931341211472974,-0.4119260182711621,1.6969228255387507,1.746891188598934,0.9095277854015582,vgg19_block_metrics_batch8,
8,-0.5890897879623423,-0.5114575568098048,1.6969228255387507,-0.5773294835072921,-0.6658225714210638,vgg19_block_metrics_batch8,
9,-0.5890897879623423,-0.5114575568098048,-0.0634986529122301,-0.5751719561519331,-0.4886715389086744,vgg19_block_metrics_batch8,
10,1.1703584638005409,-0.3123944797325194,0.5233085065714301,0.3881317447481378,0.0078106461068419,vgg19_block_metrics_batch8,
11,-0.5898510882585531,-0.5114575568098048,0.5233085065714301,-0.6226893452156361,-0.705532133469819,vgg19_block_metrics_batch8,
12,2.9305680158596346,-0.1135081904679137,0.5233085065714301,1.5288721436729944,0.7535918277812566,vgg19_block_metrics_batch8,
13,-0.5898510882585531,-0.5114575568098048,0.5233085065714301,-0.621999032300731,-0.705557855072859,vgg19_block_metrics_batch8,
14,2.9305680158596346,-0.1135081904679137,0.5233085065714301,1.8089598968730087,0.7434043854547199,vgg19_block_metrics_batch8,
15,-0.5898510882585531,-0.5114575568098048,0.5233085065714301,-0.6250146830097204,-0.7055852227701124,vgg19_block_metrics_batch8,
16,2.9305680158596346,-0.1135081904679137,0.5233085065714301,1.6388359563360038,0.7517233644678996,vgg19_block_metrics_batch8,
17,-0.5898510882585531,-0.5114575568098048,0.5233085065714301,-0.6216700693741049,-0.7002932370159479,vgg19_block_metrics_batch8,
18,-0.5898510882585531,-0.5114575568098048,-0.3569022326540603,-0.6198864316091731,-0.6943658064191556,vgg19_block_metrics_batch8,
19,1.1699778136524357,0.2844411758739772,-0.0634986529122301,0.4612722564604744,0.0296961453435975,vgg19_block_metrics_batch8,
20,-0.5902317384066585,-0.5114575568098048,-0.0634986529122301,-0.6464575423412352,-0.7226874180313645,vgg19_block_metrics_batch8,
21,2.9301873657115296,1.0799863329324002,-0.0634986529122301,1.6684012707496996,0.5544676359914285,vgg19_block_metrics_batch8,
22,-0.5902317384066585,-0.5114575568098048,-0.0634986529122301,-0.646432793949667,-0.7226230104524008,vgg19_block_metrics_batch8,
23,2.9301873657115296,1.0799863329324002,-0.0634986529122301,1.679624733453527,0.5552749015842667,vgg19_block_metrics_batch8,
24,-0.5902317384066585,-0.5114575568098048,-0.0634986529122301,-0.6453900996746534,-0.7228080027182237,vgg19_block_metrics_batch8,
25,2.9301873657115296,1.0799863329324002,-0.0634986529122301,1.6686434109107842,0.5549752875802546,vgg19_block_metrics_batch8,
26,-0.5902317384066585,-0.5114575568098048,-0.0634986529122301,-0.6461147658033851,-0.721815330574106,vgg19_block_metrics_batch8,
27,-0.5902317384066585,-0.5114575568098048,-0.5036040225249754,-0.6429185815377886,-0.7130547536452776,vgg19_block_metrics_batch8,
28,0.2895934976703736,1.0799863329324002,-0.5036040225249754,-0.1155263974335981,-0.325788729516491,vgg19_block_metrics_batch8,
29,-0.5905172260177376,-0.5114575568098048,-0.5036040225249754,-0.6607987462517361,-0.7341971877254301,vgg19_block_metrics_batch8,
30,0.2895934976703736,1.0799863329324002,-0.5036040225249754,-0.1163666230100587,-0.3263529724986691,vgg19_block_metrics_batch8,
31,-0.5905172260177376,-0.5114575568098048,-0.5036040225249754,-0.6603955116607941,-0.7332347667053429,vgg19_block_metrics_batch8,
32,0.2895934976703736,1.0799863329324002,-0.5036040225249754,-0.1192169027540415,-0.3271863739800037,vgg19_block_metrics_batch8,
33,-0.5905172260177376,-0.5114575568098048,-0.5036040225249754,-0.66019183856059,-0.734909385853624,vgg19_block_metrics_batch8,
34,0.2895934976703736,1.0799863329324002,-0.5036040225249754,-0.1210555042265059,-0.3270678441490086,vgg19_block_metrics_batch8,
