block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,model_name,model
0,-0.3636814722588566,-0.503518120647107,0.5270194793784863,0.1076282819068073,-0.3883365382082695,densenet121_block_metrics_batch8,densenet121
1,-0.5871259254586422,-0.5097878643019474,0.5270194793784863,-0.6376243154369882,-0.6803873675314935,densenet121_block_metrics_batch8,densenet121
2,-0.5878884531863156,-0.509876420003287,0.5270194793784863,-0.6223087809658419,-0.7044781315976264,densenet121_block_metrics_batch8,densenet121
3,-0.5878884531863156,-0.509876420003287,-0.3546447283722603,-0.6010232685707972,-0.682241549368469,densenet121_block_metrics_batch8,densenet121
4,1.4094099555051236,-0.2835103362391163,0.5270194793784863,2.2370053783307577,1.2376243896843897,densenet121_block_metrics_batch8,densenet121
5,-0.3900839948295468,-0.48738327186304,-0.5015887629973848,-0.2127897851594621,-0.5146810981503135,densenet121_block_metrics_batch8,densenet121
6,0.7819926095788835,0.1114835140158352,-0.0607566591220114,0.9783610895966344,1.5894716915836995,densenet121_block_metrics_batch8,densenet121
7,-0.3914184183529752,-0.4206299841932833,-0.5750631793962266,-0.4391305164418601,-0.5560948826383826,densenet121_block_metrics_batch8,densenet121
8,0.4682720221200187,1.4073899362786166,-0.3546447283722603,0.770437322171058,4.305659716328653,densenet121_block_metrics_batch8,densenet121
9,-0.3920856301146894,-0.1542721457041696,-0.611797988509368,-0.4435959808162596,-0.5502387665223154,densenet121_block_metrics_batch8,densenet121
10,-0.3877249246720574,0.9481754914122196,-0.5750631793962266,-0.2821852842414701,2.723661114529606,densenet121_block_metrics_batch8,densenet121
11,-0.5885556649480298,-0.50849495106239,-0.5750631793962266,-0.6500647523716367,-0.6646307330744475,densenet121_block_metrics_batch8,densenet121
11,-0.5885556649480298,-0.50849495106239,-0.5750631793962266,-0.4308983982893687,-0.5022115955934366,densenet121_block_metrics_batch8,densenet121
