block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,model_name,model
0,-0.5688439582099885,-0.510838799465426,-0.0634986529122301,-0.4472547994218427,-0.5571373160865716,efficientnetb1_block_metrics_batch8,
1,-0.5589113684078642,-0.5100609330896356,-0.3569022326540603,0.0014160739152445,0.1408925070051296,efficientnetb1_block_metrics_batch8,
2,-0.4260168854505795,-0.4929655516035134,-0.5402782724270726,1.7102809461166244,0.9689833732059764,efficientnetb1_block_metrics_batch8,
3,-0.4763816581717702,-0.4588985401001449,-0.604463000018269,-0.000641996541503,0.8828657703430657,efficientnetb1_block_metrics_batch8,
4,-0.474704418456681,-0.2782390743228111,-0.6273844062070798,-0.2022210162858447,1.4778210757328,efficientnetb1_block_metrics_batch8,
5,-0.3608186522704079,-0.0045008251696418,-0.6182158437315555,0.0154054062023622,1.4905720978676735,efficientnetb1_block_metrics_batch8,
6,-0.3701564762161176,1.251611941481804,-0.636552968682604,-0.0973482900544621,2.007366611060021,efficientnetb1_block_metrics_batch8,
7,-0.4165720036507152,1.0267201649720217,-0.6273844062070798,-0.3915370437823403,0.3817809526698445,efficientnetb1_block_metrics_batch8,
