block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,model_name,model
0,-0.5688439582099885,-0.510838799465426,-0.0634986529122301,-0.4453565820154065,-0.557133200530327,efficientnetb0_block_metrics_batch8,
1,-0.5696052585061993,-0.5104852238400667,-0.3569022326540603,-0.2478921840254035,-0.3171785745775149,efficientnetb0_block_metrics_batch8,
2,-0.4781540604238858,-0.5001784943608432,-0.5402782724270726,1.1592410357749172,0.5235472550721071,efficientnetb0_block_metrics_batch8,
3,-0.5153150311326719,-0.4800070049340951,-0.604463000018269,-0.0918074185520119,0.3251482236324052,efficientnetb0_block_metrics_batch8,
4,-0.5056560336244983,-0.3476282907995736,-0.6273844062070798,-0.3092909895518922,0.8935396712412828,efficientnetb0_block_metrics_batch8,
5,-0.4242325878813356,-0.145170887718839,-0.6182158437315555,-0.1996821501403546,0.9203768019567822,efficientnetb0_block_metrics_batch8,
6,-0.4147044388615733,0.855094556422618,-0.636552968682604,-0.2640855386248985,1.448819985543883,efficientnetb0_block_metrics_batch8,
7,-0.5340263649754761,-0.0277661013182836,-0.6273844062070798,-0.5671764969936175,-0.1752610254832625,efficientnetb0_block_metrics_batch8,
