block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,model_name
0,-0.3173264878113724,-0.48546588548890934,-0.3650333007838426,-0.22072650082562484,-0.4445314550964206,resnet18_block_metrics_batch8
1,-0.0727706780666316,-0.42888331703721005,-0.3650333007838426,-0.22100029685969783,-0.4470468050715172,resnet18_block_metrics_batch8
2,-0.0727706780666316,-0.42888331703721005,-0.5097326576825885,-0.37705364807313807,-0.34734348893758304,resnet18_block_metrics_batch8
3,-0.1852055896494596,-0.29175461066342145,-0.5097326576825885,-0.37719038175255243,-0.4570217998200879,resnet18_block_metrics_batch8
4,-0.07342460703258041,-0.23441239015358298,-0.5820846985704414,-0.43392861228726004,-0.39840481912997827,resnet18_block_metrics_batch8
5,-0.1856415422934255,0.31320466472740716,-0.5820846985704414,-0.4018934122370241,-0.48222421677340677,resnet18_block_metrics_batch8
6,-0.07375157151555486,0.5429418629161616,-0.6182583565758879,-0.426667876533227,-0.08451456089631784,resnet18_block_metrics_batch8
7,-0.18585951861540848,2.731614541211793,-0.6182583565758879,-0.3660192723947867,-0.36311128621876937,resnet18_block_metrics_batch8
