block_number,pi_execution_time,gpu_execution_time
0,115.28904251754284,0.0716523081064224
1,180.9344831854105,0.094279870390892
2,597.4623204767704,0.2665672451257705
3,233.9589887112379,0.1512765139341354
4,116.75849668681622,0.1288306713104248
5,71.38449348509312,0.1380185037851333
6,71.7322876304388,0.1386155188083648
7,47.16977268457413,0.1353044807910919
8,38.60286474227905,0.1362264901399612
9,38.55601586401463,0.1427578926086425
10,38.941541239619255,0.134696289896965
11,40.56324653327465,0.1258885115385055
12,58.1465408205986,0.1347852498292923
13,58.28632466495037,0.1351191103458404
14,39.67830412089825,0.1261346787214279
15,34.53890532255173,0.1516140252351761
16,34.74355645477772,0.1522626727819442
17,39.2932503670454,0.1286616921424865
