model,block_number,pi_execution_time,gpu_execution_time
densenet121,0,413.9145074,0.132500672
densenet121,10,205.1064616,1.257182807
densenet121,11,8.047663495,0.032647401
densenet121,1,14.71152425,0.026952922
densenet121,2,22.91546352,0.018246472
densenet121,3,34.31728899,0.026282817
densenet121,4,1554.539434,0.720126182
densenet121,5,242.2789456,0.086839497
densenet121,6,880.3323845,0.847284496
densenet121,7,121.0369728,0.071872473
densenet121,8,768.9556667,1.828920245
densenet121,9,118.6449963,0.073988885
densenet121,10,123.19003,0.082133
densenet121,11,125.4466,0.091346
