episode,model,bandwidth,final_reward,split_point
1,resnet18,350,0.9463184463728672,2
2,efficientnetb2,939,1.0,3
3,resnet18,550,0.5341577662577371,1
4,densenet121,350,0.0,1
5,vgg19,350,0.3463718988145903,7
6,resnet50,350,0.2365622217411404,3
7,resnet50,750,1.0,5
8,efficientnetb1,750,1.0,3
9,efficientnetb1,939,0.2284047954549483,2
10,resnet18,750,1.0,2
11,efficientnetb1,939,1.0,3
12,vgg19,750,0.0,1
13,densenet121,939,0.0166311998595305,3
14,resnet18,939,0.5358361217945573,1
15,resnet18,550,1.0,2
16,resnet18,350,0.9463184463728672,2
17,vgg19,350,0.3670248005033085,6
18,efficientnetb1,939,0.0,1
19,resnet18,350,0.5934360820487711,1
20,vgg19,350,0.0047515404264518,2
21,efficientnetb2,750,0.0,1
22,efficientnetb1,939,0.2284047954549483,2
23,resnet50,550,0.0097267662088094,1
24,resnet18,939,0.5358361217945573,1
25,densenet161,750,0.140363807198106,10
26,densenet161,750,0.0355493113357071,3
27,efficientnetb0,550,0.5319033905566624,5
28,efficientnetb0,750,0.0,1
29,densenet121,350,0.0321065308334073,2
30,vgg19,939,0.0183675354070255,1
31,efficientnetb0,750,1.0,3
32,efficientnetb2,550,0.0,1
33,efficientnetb2,350,1.0,3
34,resnet50,750,0.3344894405367239,2
35,efficientnetb2,939,0.2064582521296088,2
36,efficientnetb1,939,0.0961268279883589,7
37,efficientnetb1,350,0.0,1
38,densenet161,350,0.0,1
39,densenet161,750,0.0193762853485244,2
40,densenet121,750,0.0279532973407523,2
41,efficientnetb0,550,0.0,1
42,densenet161,750,0.0,1
43,densenet161,939,0.9380901386244868,8
44,efficientnetb1,939,0.0,1
45,efficientnetb2,750,0.1857252749278613,2
46,vgg19,939,0.0,2
47,densenet121,939,0.0230700539672484,2
48,efficientnetb2,350,0.1727158782926704,2
49,efficientnetb0,550,0.7484594574197447,4
50,efficientnetb2,550,0.0,1
51,vgg19,550,0.0,2
52,efficientnetb1,750,1.0,3
53,efficientnetb0,550,1.0,3
54,resnet50,939,0.1412757250508847,2
55,resnet18,350,0.1759150949563926,7
56,efficientnetb1,350,0.0,1
57,efficientnetb1,750,0.0,1
58,resnet18,750,0.5563161859691826,1
59,efficientnetb0,939,0.0277656910590755,8
60,efficientnetb2,550,0.0,1
61,resnet50,550,0.0097267662088094,1
62,efficientnetb2,939,0.0,1
63,densenet161,939,0.8028649279588222,7
64,resnet18,750,0.5563161859691826,1
65,densenet121,550,0.0,1
66,densenet121,550,0.0267032533330688,3
67,efficientnetb2,550,0.7219694682129152,4
68,vgg19,550,0.3630539177738009,6
69,resnet18,350,0.9463184463728672,2
70,vgg19,350,0.0047515404264518,2
71,resnet18,939,1.0,2
72,efficientnetb2,750,0.0,1
73,resnet50,350,0.6807257591827157,8
74,vgg19,939,0.053642035656265,3
75,densenet121,939,0.0230700539672484,2
76,efficientnetb0,939,0.0,1
77,efficientnetb2,550,0.0,1
78,vgg19,550,0.0,2
79,densenet161,550,0.0,1
80,vgg19,550,0.0192737323606945,1
81,resnet18,550,0.9649971314956884,3
82,efficientnetb1,550,0.0,1
83,densenet161,939,0.0601439006764898,1
84,resnet18,550,1.0,2
85,vgg19,939,0.0,2
86,densenet161,350,0.0195835026890192,2
87,vgg19,550,0.0,2
88,resnet50,750,0.41601881255758,9
89,resnet50,350,0.0174859151390518,1
90,vgg19,750,0.0061276421520036,2
91,densenet161,550,0.0323579521725776,2
92,resnet18,550,0.5341577662577371,1
93,efficientnetb1,750,0.258386396623143,2
94,vgg19,550,0.3992057636441661,5
95,densenet121,750,0.0,1
96,densenet121,750,0.0279532973407523,2
97,densenet121,750,0.0279532973407523,2
98,resnet18,550,0.6805816088044464,4
99,densenet161,350,0.0195835026890192,2
100,resnet50,939,0.1412757250508847,2
101,efficientnetb1,550,0.2436659344100393,2
102,densenet161,350,0.0195835026890192,2
103,resnet18,750,0.6570784835049883,4
104,vgg19,750,0.3954673323042385,5
105,densenet121,550,0.0266970250369456,2
106,vgg19,750,0.0863442753339673,3
107,efficientnetb1,939,0.0,1
108,efficientnetb0,550,0.0,1
109,efficientnetb2,939,0.0,1
110,efficientnetb0,550,1.0,3
111,densenet161,550,0.0323579521725776,2
112,resnet18,939,0.5358361217945573,1
113,vgg19,750,0.0061276421520036,2
114,resnet50,550,0.0097267662088094,1
115,densenet121,550,0.0267032533330688,3
116,densenet161,350,0.0,1
117,vgg19,939,0.3698836387150448,7
118,densenet121,939,0.0230700539672484,2
119,efficientnetb0,350,0.0,1
120,efficientnetb1,550,0.0,1
121,resnet18,750,0.2819735347623552,6
122,efficientnetb1,750,0.258386396623143,2
123,efficientnetb1,550,1.0,3
124,densenet161,350,0.0195835026890192,2
125,densenet121,350,0.0321065308334073,2
126,efficientnetb2,550,0.0,1
127,resnet18,550,1.0,2
128,resnet50,550,0.106889737057666,2
129,resnet50,939,0.481243768988981,4
130,resnet50,750,0.098265786808133,1
131,densenet161,550,0.0323579521725776,2
132,efficientnetb0,350,0.0,1
133,efficientnetb0,550,0.7484594574197447,4
134,densenet121,750,0.0,1
135,densenet121,750,0.0983602208090902,4
136,efficientnetb2,550,0.0,1
137,efficientnetb1,350,0.0,1
138,vgg19,750,0.0863442753339673,3
139,efficientnetb2,750,0.0,1
140,efficientnetb0,750,0.0,1
141,densenet121,939,0.0230700539672484,2
142,densenet121,750,0.0357436179754728,3
143,efficientnetb0,939,0.245393377540531,2
144,efficientnetb2,939,0.2064582521296088,2
145,resnet18,350,0.9463184463728672,2
146,resnet18,939,0.0,8
147,resnet18,350,1.0,3
148,resnet50,350,0.0174859151390518,1
149,efficientnetb2,350,1.0,3
150,vgg19,750,0.0,1
151,resnet50,350,0.4097205423764233,4
152,densenet121,750,0.0983602208090902,4
153,vgg19,750,0.0,1
154,densenet121,550,0.0266970250369456,2
155,resnet18,750,1.0,2
156,efficientnetb1,350,0.0,1
157,efficientnetb1,939,0.0,1
158,vgg19,350,0.0,1
159,efficientnetb2,350,0.0,1
160,efficientnetb2,350,0.1727158782926704,2
161,efficientnetb0,939,0.2344467476320147,6
162,resnet18,350,0.5934360820487711,1
163,efficientnetb0,939,0.5462134982716761,5
164,efficientnetb2,350,0.0,1
165,densenet121,750,0.0279532973407523,2
166,resnet18,750,1.0,2
167,densenet121,750,0.0426596745047148,11
168,resnet18,350,0.5934360820487711,1
169,densenet121,750,0.0,1
170,resnet50,350,0.8169515861153699,7
171,vgg19,939,0.053642035656265,3
172,resnet50,550,0.2772450699669692,3
