episode,model,bandwidth,final_reward,split_point
1,vgg16,750,0.0058887013115276,1
2,efficientnetb1,350,0.0,1
3,resnet50,350,0.0948151869136176,2
4,efficientnetb1,550,0.0,1
5,efficientnetb1,350,0.2323535341648464,2
6,resnet18,350,0.9463184463728672,2
7,vgg16,750,0.0,2
8,densenet161,350,0.0,1
9,densenet161,750,0.0193762853485244,2
10,efficientnetb1,939,0.2284047954549483,2
11,resnet18,939,0.9772814215247084,3
12,densenet161,939,0.0,2
13,resnet18,939,0.5358361217945573,1
14,efficientnetb0,939,0.245393377540531,2
15,resnet18,939,0.5358361217945573,1
16,efficientnetb1,350,0.2323535341648464,2
17,vgg19,350,0.0,1
18,resnet18,939,0.5358361217945573,1
19,efficientnetb1,750,0.0,1
20,densenet161,750,0.0193762853485244,2
21,vgg16,550,0.0199271539720846,1
22,vgg16,750,0.0058887013115276,1
23,resnet18,550,0.0,8
24,vgg16,350,0.6122688308267832,9
25,resnet18,350,0.5934360820487711,1
26,vgg19,550,0.0,2
27,vgg19,939,0.0,2
28,densenet161,350,0.0,1
29,densenet161,939,0.0601439006764898,1
30,vgg16,750,0.0240042451732625,4
31,densenet161,939,0.0601439006764898,1
32,efficientnetb0,350,0.2601845258832877,2
33,resnet50,939,0.8248723661787692,5
34,resnet50,750,0.3344894405367239,2
35,efficientnetb0,750,0.0,1
36,resnet18,939,1.0,2
37,resnet18,350,0.9463184463728672,2
38,densenet161,939,0.0,2
39,resnet50,750,0.098265786808133,1
40,vgg16,750,0.0058887013115276,1
41,vgg19,939,0.0,2
42,resnet50,750,0.3344894405367239,2
43,resnet18,550,1.0,2
44,densenet161,350,0.472733213293796,5
45,densenet161,939,0.0601439006764898,1
46,vgg19,939,0.0,2
47,efficientnetb0,939,0.245393377540531,2
48,resnet50,750,0.692684175445151,7
49,efficientnetb1,939,0.0,1
50,vgg16,750,0.0,2
51,efficientnetb0,350,0.2601845258832877,2
52,efficientnetb1,750,0.0,1
53,densenet161,550,0.0323579521725776,2
54,resnet50,939,0.0,1
55,resnet18,550,0.9649971314956884,3
56,densenet161,939,0.0601439006764898,1
57,resnet18,939,0.9772814215247084,3
58,vgg19,939,0.053642035656265,3
59,densenet161,750,0.0912366792400731,4
60,efficientnetb1,939,0.0,1
61,efficientnetb0,939,1.0,3
62,vgg16,550,0.0199271539720846,1
63,resnet18,350,0.5934360820487711,1
64,vgg16,550,0.0983706975456484,4
65,densenet161,750,0.0,1
66,densenet161,550,0.0,1
67,resnet18,350,0.5934360820487711,1
68,vgg16,550,0.0,2
69,resnet50,750,0.098265786808133,1
70,densenet161,550,0.0323579521725776,2
71,efficientnetb0,939,0.2344467476320147,6
72,vgg19,750,0.0,1
73,efficientnetb0,939,0.0,1
74,resnet50,550,0.645703014729161,8
75,efficientnetb1,750,0.258386396623143,2
76,densenet161,350,0.0195835026890192,2
77,vgg16,350,0.0238402416290037,2
78,densenet161,750,0.0193762853485244,2
79,resnet34,350,0.19930012289416,2
80,efficientnetb1,939,0.0,1
81,resnet34,750,0.2101132021199169,2
82,efficientnetb1,939,0.0,1
83,vgg19,350,0.3463718988145903,7
84,efficientnetb1,350,0.2323535341648464,2
85,resnet50,939,0.0,1
86,efficientnetb1,550,0.6878389778024664,4
87,resnet50,750,0.3344894405367239,2
88,vgg16,550,0.0199271539720846,1
89,resnet18,939,1.0,2
90,resnet18,939,0.5358361217945573,1
91,resnet34,939,0.2104748857315504,1
92,vgg16,350,0.0,1
93,resnet34,939,0.2104748857315504,1
94,vgg19,939,0.0,2
95,resnet34,350,0.1157963719048598,1
96,resnet50,939,0.0,1
97,resnet34,550,0.2165759106887793,2
98,resnet34,350,0.19930012289416,2
99,efficientnetb1,550,0.0,1
100,efficientnetb1,550,0.6878389778024664,4
101,resnet34,750,0.2101132021199169,2
102,vgg16,939,0.0060710231598882,1
103,efficientnetb0,750,0.4450311925360435,5
104,vgg16,550,0.0983706975456484,4
105,densenet161,550,0.0323579521725776,2
106,vgg16,750,0.0058887013115276,1
107,vgg16,750,0.0,2
108,densenet161,550,0.1068700282907242,4
109,resnet50,750,0.8540914514899219,6
110,vgg19,550,0.0192737323606945,1
111,resnet34,750,0.1441687792856025,1
112,resnet18,750,0.5563161859691826,1
113,efficientnetb0,350,0.0,1
114,efficientnetb1,939,1.0,3
115,resnet18,750,1.0,2
116,resnet34,939,0.2104748857315504,1
117,vgg16,550,0.0199271539720846,1
118,densenet161,350,0.0195835026890192,2
119,resnet34,939,0.2104748857315504,1
120,densenet161,750,0.0193762853485244,2
121,efficientnetb1,750,0.7228690296773087,4
122,resnet34,350,0.3864954674184693,4
123,efficientnetb1,939,0.2284047954549483,2
124,efficientnetb1,939,1.0,3
125,densenet161,939,0.0,2
126,vgg16,939,0.0548212617333455,3
127,resnet18,550,0.6805816088044464,4
128,efficientnetb1,350,0.0,1
129,densenet161,350,0.472733213293796,5
130,resnet50,939,0.0,1
131,resnet50,550,0.0097267662088094,1
132,vgg19,750,0.0863442753339673,3
133,resnet18,750,0.5563161859691826,1
134,resnet18,750,0.5563161859691826,1
135,resnet34,550,0.3605928556450244,3
136,resnet34,939,0.2104748857315504,1
137,resnet34,939,0.3385797164144236,2
138,vgg16,750,0.5870702344568659,8
139,densenet161,939,0.2994714122049385,4
140,vgg19,550,0.0,2
141,efficientnetb0,550,1.0,3
142,vgg19,939,0.0183675354070255,1
143,densenet161,550,0.0,1
144,efficientnetb0,750,0.0,1
145,resnet50,750,0.098265786808133,1
146,resnet18,350,0.5934360820487711,1
147,resnet50,750,0.098265786808133,1
148,resnet34,750,0.416342836798379,4
149,vgg16,939,0.0060710231598882,1
150,resnet34,939,0.2104748857315504,1
151,efficientnetb0,550,0.0,1
152,resnet18,750,0.9425112246169725,3
153,vgg19,350,0.3670248005033085,6
154,efficientnetb0,550,0.290069122860228,2
155,vgg19,939,0.1144285467096243,4
156,efficientnetb0,550,1.0,3
157,efficientnetb0,939,0.0277656910590755,8
158,vgg19,939,0.0183675354070255,1
159,efficientnetb0,750,0.0,1
160,efficientnetb1,550,0.0,1
161,efficientnetb1,350,0.0,1
162,densenet161,750,0.0,1
163,resnet34,550,0.1426819901860775,1
164,resnet18,939,0.5358361217945573,1
165,vgg16,750,0.0,2
166,densenet161,550,0.0210735879951949,3
167,densenet161,750,0.0,1
168,resnet34,939,0.3385797164144236,2
169,resnet34,939,1.0,6
170,resnet34,550,0.1426819901860775,1
171,vgg16,750,0.3719773828090447,7
172,vgg19,350,0.4051376815444835,5
173,resnet18,550,0.9649971314956884,3
174,efficientnetb0,750,0.221102352041803,2
175,efficientnetb0,939,0.5462134982716761,5
176,efficientnetb1,350,1.0,3
177,vgg19,939,0.3786480345124817,5
178,densenet161,939,1.0,6
179,resnet50,750,0.5242927837491854,3
180,efficientnetb0,550,0.0,1
181,efficientnetb0,350,0.0,1
182,vgg19,939,0.3786480345124817,5
183,efficientnetb0,550,0.290069122860228,2
184,resnet18,750,0.0,8
185,densenet161,750,0.0,1
