episode,model,bandwidth,final_reward,split_point
149,resnet50,350,0.0174859151390518,1
150,densenet121,350,0.0321065308334073,2
151,resnet50,939,0.481243768988981,4
152,resnet34,939,0.7089537968694798,4
153,efficientnetb2,350,0.0,1
154,vgg19,750,0.0,1
155,vgg19,939,0.053642035656265,3
156,resnet34,939,0.2104748857315504,1
157,efficientnetb1,750,0.0,1
158,resnet50,939,0.8248723661787692,5
159,efficientnetb2,939,0.4515770715118704,5
160,efficientnetb0,750,0.6483214388113725,4
161,vgg19,750,0.1063831635744575,4
162,vgg19,939,0.0183675354070255,1
163,resnet50,750,0.098265786808133,1
164,efficientnetb2,550,0.7219694682129152,4
165,efficientnetb1,939,0.0,1
166,efficientnetb1,939,0.2284047954549483,2
167,vgg19,750,0.1063831635744575,4
168,vgg19,939,0.0183675354070255,1
169,efficientnetb2,750,1.0,3
170,efficientnetb1,939,0.2284047954549483,2
171,densenet121,939,0.0166311998595305,3
172,efficientnetb1,350,0.2323535341648464,2
173,densenet121,550,0.0266970250369456,2
174,efficientnetb2,750,0.1857252749278613,2
175,resnet50,939,0.0,1
176,resnet50,750,1.0,5
177,efficientnetb0,550,0.0,1
178,resnet50,350,0.0948151869136176,2
179,efficientnetb0,350,0.2601845258832877,2
180,resnet34,939,0.5254802820550293,3
181,resnet50,750,0.692684175445151,7
182,resnet34,550,0.2165759106887793,2
183,resnet34,750,0.2101132021199169,2
184,efficientnetb1,750,0.258386396623143,2
185,densenet121,350,0.0321065308334073,2
186,vgg16,550,0.0768889395683232,3
187,resnet34,939,0.8527581774225047,5
188,densenet121,939,0.0166311998595305,3
189,densenet121,939,0.0166311998595305,3
190,efficientnetb2,939,1.0,3
191,resnet34,750,0.1441687792856025,1
192,resnet34,550,0.6271701708292037,6
193,resnet50,350,0.0948151869136176,2
194,resnet50,550,1.0,6
195,vgg19,750,0.0,1
196,resnet50,750,0.3344894405367239,2
197,vgg19,939,0.1144285467096243,4
198,vgg16,939,0.0060710231598882,1
199,efficientnetb2,750,0.1857252749278613,2
