Model,Best Latency Split,Latency,Best Throughput Split,Throughput
AlexNet,6,0.9983434121618546,7,1.790419223359845
InceptionV3,19,0.9936328511392476,10,1.9436044595937565
MobileNetV2,17,0.9340304764052912,5,1.8771203799651626
ResNet18,8,1.0,6,1.645653837858087
VGG16,29,0.9660316891899996,14,1.951183302555664
resnet50,15,0.967416594478711,7,1.9743111542309573
