Model,Learned Split,Learned Latency,Learned Throughput,Optimal Split,Optimal Latency,Optimal Throughput
AlexNet,7,0.5585284088513254,1.790419223359845,7,0.5585284088513254,1.790419223359845
InceptionV3,5,0.8081700463853346,1.237363354992745,5,0.8081700463853346,1.237363354992745
MobileNetV2,4,0.5493889701740255,1.8202039980584939,3,0.628001010571967,1.5923541254961133
ResNet18,5,0.6227439498084869,1.605796411683375,5,0.6227439498084869,1.605796411683375
VGG16,9,0.6287462593943689,1.5904667185825265,12,0.5851625692630005,1.7089268051773685
resnet50,7,0.5065057743593231,1.9743111542309573,7,0.5065057743593231,1.9743111542309573
