Model name,Learned Split,Latency,Throughput
AlexNet,7,1.1471549713965967,1.790419223359845
InceptionV3,8,1.1346252513599637,1.55922463924006
MobileNetV2,5,0.9782034677675338,1.8771203799651626
ResNet18,5,1.187406821946372,1.605796411683375
VGG16,13,1.0399946199640666,1.9261439343478681
resnet50,7,1.3957330145466003,1.9743111542309573
