Model,Best Latency Split,Latency,Best Throughput Split,Throughput
AlexNet,6,0.8886771939655916,7,2.048562369653711
InceptionV3,5,0.6721082406259964,5,3.41982333588649
MobileNetV2,15,0.9785823159755118,3,1.8395668100168603
ResNet18,8,1.0040581381257867,5,1.6618734608636911
VGG16,26,0.9038445814726729,12,2.4892842246197033
resnet50,16,0.9710082044631062,7,1.9763690391719126
