Model name,Learned Split,Learned Latency,Learned Throughput,Optimal Split,Optimal Latency,Optimal Throughput
AlexNet,7,1.1471549713965967,1.790419223359845,6,0.9983434121618546,1.651728563431858
InceptionV3,5,1.1698107891125027,1.237363354992745,19,0.9936328511392476,1.0064079492273752
MobileNetV2,4,1.214363358228303,1.8202039980584939,17,0.9340304764052912,1.100837075572844
ResNet18,5,1.187406821946372,1.605796411683375,8,1.0,1.0
VGG16,9,1.1812239349467781,1.5904667185825265,29,0.9660316891899996,1.035162729328768
resnet50,7,1.3957330145466003,1.9743111542309573,15,0.967416594478711,1.0819791765352362
