bandwidth_mbps,model_name,split_index,static_network_delay_ms,system_inference_throughput_imgs_per_s,part1_inference_time_s,part2_inference_time_s,network_time_s,end_to_end_latency_s,intermediate_data_size_bytes,network_throughput_mbps
1.5,vgg16,1,200.0,0.0477130569182079,0.0,1.0,0.49309978435380847,305.041769357828,102760952.0,0.3520919753999718
1.5,vgg16,2,200.0,1.716164792602466e-05,0.007437474559076852,0.9556565169313096,0.9971237485115356,589.7540963062874,102760952.0,0.1741119560393488
1.5,vgg16,3,200.0,0.0,0.15679032949987257,0.8254054537724813,1.0,588.7764050960541,102760952.0,0.1736081550177697
1.5,vgg16,4,200.0,2.3862479578622884e-05,0.164328349627354,0.8367165628058378,0.9992953407943326,588.8053627747756,102760952.0,0.1737293574516696
1.5,vgg16,5,200.0,0.14556309059654202,0.17468486335660227,0.7818112336178421,0.2391167295332601,157.05204934340256,25690616.0,0.1815768027630401
1.5,vgg16,6,200.0,0.048296704431897555,0.2449920142253315,0.7523610242453738,0.4954818953029856,301.0988801259261,51380728.0,0.1751880428108788
1.5,vgg16,7,200.0,0.04822812660023948,0.2495320271341823,0.758670544390425,0.4956533071617007,301.3560375066904,51380728.0,0.1751309126035279
1.5,vgg16,8,200.0,0.04697837867439045,0.36518526105472077,0.5958192295959137,0.5050758808869537,302.9524990962102,51380728.0,0.1719799981425967
1.5,vgg16,9,200.0,0.048217615392712056,0.3603580355522777,0.6214365370918301,0.49844084652918114,300.6796944508186,51380728.0,0.1741433645237721
1.5,vgg16,10,200.0,0.32864475698021167,0.3698276899112853,0.6041426317905949,0.11827123862862592,85.03111248749953,12845560.0,0.1835441450535253
1.5,vgg16,11,200.0,0.14176805921176533,0.40833826413399593,0.576373673902561,0.24785253236804727,156.7329719250019,25690617.0,0.1750885572104625
1.5,vgg16,12,200.0,0.1425555385000497,0.4102522866837391,0.5837403511546344,0.2466774765270544,156.8989316866948,25690617.0,0.1759303768073795
1.5,vgg16,13,200.0,0.14115333985697734,0.5180702892792359,0.46000290745098493,0.2508748297387774,156.73647411052997,25690617.0,0.172972654501246
1.5,vgg16,14,200.0,0.1415663527227256,0.5111461181306147,0.45282285568522046,0.2504837542870046,156.33503081248358,25690617.0,0.1732415013641531
1.5,vgg16,15,200.0,0.14012693215849312,0.6050639958681482,0.3575427375695586,0.25372538561197777,156.2715508754437,25690617.0,0.171025916640672
1.5,vgg16,16,200.0,0.14004466396568394,0.6099406088947562,0.3392741625674167,0.2537494035976505,156.14957516009991,25690617.0,0.1710097312049283
1.5,vgg16,17,200.0,0.6370871495723771,0.6208080737947188,0.3803647241959828,0.06267889568739042,49.10285117075993,6423033.0,0.1730340701343042
1.5,vgg16,18,200.0,0.31303146336970983,0.6901389453115577,0.2931971296629615,0.12670033944772913,84.74188225085919,12845561.0,0.1712106837818237
1.5,vgg16,19,200.0,0.31171874496900476,0.7101122488487553,0.30986996010786355,0.12673251090945198,85.20399242181044,12845561.0,0.1711672462371515
1.5,vgg16,20,200.0,0.30403545632343404,0.7907267906287923,0.18322692607227592,0.1266902992719348,84.58314831440265,12845561.0,0.1712242430656114
1.5,vgg16,21,200.0,0.3073028427372271,0.7969407771686615,0.18408070566090656,0.12669319844303523,84.66774568190941,12845561.0,0.1712203270187331
1.5,vgg16,22,200.0,0.3009940241998615,0.9144694610283599,0.08048428014779839,0.126688712158186,84.77949874217694,12845561.0,0.1712263870126902
