Model name,Split point,Partition 1 exec time (s),Partition 2 exec time (s),Network Transfer Time (s)
resnet50,3,0.18870869355680295,0.9026936460142203,0.994275891003017
resnet50,16,0.9664701983017108,0.004538006161395479,0.0
resnet50,6,0.4476694245248719,0.6069627855286944,0.43419380154369946
resnet50,8,0.6080176232730409,0.4312769539461167,0.13925990476045508
resnet50,9,0.6485517624558446,0.4162853572881104,0.13952570803628606
resnet50,4,0.3246125721254809,0.7336982505102597,0.4393834505381088
resnet50,11,0.7431570885505333,0.29993929560450167,0.1428056201569156
resnet50,12,0.7807962611290504,0.26228961782135934,0.14266960566346015
resnet50,2,0.09973377371668188,1.0,0.9900024591558766
resnet50,15,0.9497350234612805,0.06228720000759868,0.0008229179492782457
resnet50,7,0.5059783776105875,0.45548502639302757,0.4411784440979566
resnet50,13,0.8253921863579339,0.22186952843708851,0.14066492669571062
resnet50,18,1.0000000000000002,0.0,0.002881380143301998
resnet50,10,0.6982667062449531,0.3656540344532705,0.1431335076071269
resnet50,17,0.978585020921156,0.0006300707527149355,0.000793518758067463
resnet50,5,0.3896439818478371,0.6818131185393639,0.43497547415707327
resnet50,1,0.0,0.9787540372452693,0.9999999999999999
resnet50,14,0.9118497872009204,0.11196924310628115,0.002008224164336214
VGG16,26,0.8713001949726901,0.03251962858336671,2.475791661619639e-05
VGG16,19,0.66998698829483,0.21710026776861024,0.08313507206747295
VGG16,7,0.25719956222056906,0.4537392145489713,0.4360665505093773
VGG16,16,0.5962494267977058,0.27922743579637777,0.19464313572929792
VGG16,1,0.0,0.97376662496059,0.9036492582279485
VGG16,10,0.3654810466034146,0.5125342055889845,0.08352220093519533
VGG16,4,0.1838688183157387,0.5655445484894303,0.9113960829902131
VGG16,13,0.5170577388194806,0.3400656007988078,0.19429658078361486
VGG16,28,0.9245072056499793,0.025016380968823748,0.0
VGG16,14,0.6351854144191275,0.3288802810528733,0.19595611567066296
VGG16,30,0.9999999999999999,0.0077469455756531,0.00011015316851165427
VGG16,17,0.6093320127454421,0.2780572368625591,0.028427425478740838
VGG16,11,0.40710975007225497,0.42735466343986755,0.19617706470755347
VGG16,12,0.4017219046783513,0.33666568838477395,0.19540289080252612
VGG16,22,0.9399966639946408,0.060718506205216474,0.08154997859110855
VGG16,29,0.9939652923645593,0.0,0.00023528403827207528
VGG16,27,0.9881740540985468,0.025368947067755734,0.0003511097316970316
VGG16,18,0.6610262329786225,0.226213780911366,0.08306448685599133
VGG16,20,0.8219788731835359,0.13490621260996427,0.082564689907234
VGG16,21,0.7490127504017521,0.13224049238740349,0.08425904236099094
VGG16,3,0.17617301209099734,0.6030837567776826,1.0
VGG16,5,0.19694366904108923,0.6136958895173231,0.19169582591306059
VGG16,24,0.9295230043805948,0.06650336802120772,0.00010668817792434254
VGG16,25,0.9709976136577075,0.029387025375250314,0.00036569622433102814
VGG16,2,0.013744176307728367,0.9999999999999999,0.9460329951493205
VGG16,9,0.3548363445314594,0.3088721549384841,0.4383724179148619
VGG16,6,0.2515599384120546,0.4848890704188816,0.45760101991439067
VGG16,8,0.3579785776739039,0.40387792794125865,0.43712493747298736
VGG16,15,0.6147510563383183,0.181889598306486,0.19667814705604478
VGG16,23,0.9772599741024662,0.06020365286256403,0.08065011494687116
AlexNet,9,1.0,0.0,0.08357415631045881
AlexNet,7,0.48814720743359163,0.47438635351971925,0.21214180794036838
AlexNet,1,0.0,0.8481622400746096,1.0
AlexNet,12,0.9353951067446294,0.11450229984949845,0.08036150672412853
AlexNet,2,0.011236951290593572,1.0,0.9844097601042319
AlexNet,10,0.7607153164315298,0.3337139919876182,0.07609000142361724
AlexNet,3,0.02798619490285939,0.8932477690399934,0.08563479187318304
AlexNet,4,0.4075976546933717,0.6797671534858034,0.6778421648941448
AlexNet,8,0.49258094560196153,0.47871314411683175,0.21118857537983401
AlexNet,5,0.4441293932765742,0.636401212455217,0.704342423703672
AlexNet,11,0.9213707125767313,0.17935646607456412,0.07726366491349837
AlexNet,6,0.3270687830874085,0.5616084108781831,0.0
ResNet18,6,0.7331165531132239,0.3800566939110195,0.14954593359944585
ResNet18,3,0.3520126230905082,0.7486493096694412,0.4376381202789389
ResNet18,8,1.0,0.0,0.0040581381257866755
ResNet18,4,0.48088066294446996,0.6919072850071891,0.43919953583507554
ResNet18,5,0.6017305309637057,0.45084690037869685,0.15227804360359354
ResNet18,1,0.0,1.0,0.9940745528189581
ResNet18,2,0.17940332703694095,0.9742982925670425,1.0
ResNet18,7,0.8543940541488814,0.19508679500981366,0.0
MobileNetV2,5,0.6521888515443938,0.2957492626444746,0.04237677906969266
MobileNetV2,17,0.9682804040413588,0.03908570520369861,0.00046431542494576594
MobileNetV2,8,0.7686794831752952,0.25124607872768423,0.011889054408739642
MobileNetV2,11,0.7926599025117397,0.2263192931808953,0.012368331108489318
MobileNetV2,10,0.777451502725531,0.22581578097153823,0.011616656026105093
MobileNetV2,2,0.10660999533466659,1.0,0.47049649506342456
MobileNetV2,15,0.9160922947258837,0.06187402945253348,0.0006159917970948829
MobileNetV2,9,0.7974883047247782,0.2715402913987343,0.012003585546893375
MobileNetV2,1,0.0,0.9821464862273441,0.9999999999999998
MobileNetV2,6,0.7043246909576651,0.38841895863513565,0.044098615437198604
MobileNetV2,12,0.8524205931376542,0.21800710779460397,0.027809398518060295
MobileNetV2,13,0.8870276996139743,0.15034431636981266,0.027700284393198098
MobileNetV2,16,0.9567035346418176,0.03693486779710502,0.0
