Model name,Split point,Partition 1 exec time (s),Partition 2 exec time (s),Network Transfer Time (s)
AlexNet,1,0.0017483660041546613,0.05927737552943088,0.01039911394798442
AlexNet,2,0.0017194911526208492,0.058475128235373715,0.010275993819881894
AlexNet,3,0.003599470173809215,0.059327993113280415,0.0008535190414593976
AlexNet,4,0.01345908419725855,0.049505787376551896,0.005845300444749653
AlexNet,5,0.013975438729811992,0.04926942420854153,0.005599410649524062
AlexNet,6,0.014208396219511556,0.04787604489350973,0.0005980903355739798
AlexNet,7,0.019472368278680624,0.04299459520883134,0.0020818592864885847
AlexNet,8,0.019520083970840253,0.04277540742983555,0.0021207604552115986
AlexNet,9,0.028329173145786327,0.03534925493437709,0.0029509706555262325
AlexNet,10,0.027507132591232525,0.03570149534402876,0.0026494531448294266
AlexNet,11,0.03242950312556842,0.03052347728429355,0.0027679854201095914
AlexNet,12,0.033504583629063556,0.030304391812252612,0.003213427697054824
InceptionV3,1,0.01147663554668955,0.4340086830592044,0.05324624390737129
InceptionV3,2,0.034119913933962034,0.41492133295487876,0.045729728863824176
InceptionV3,3,0.08070795170416588,0.36579073441230225,0.172258701705577
InceptionV3,4,0.08912462442805455,0.3601622734456635,0.023715892014408227
InceptionV3,5,0.09902594095583157,0.3507656792563697,0.02734419541897926
InceptionV3,6,0.13439081240108003,0.3048375685266294,0.07573441376247779
InceptionV3,7,0.146428353007507,0.3012021128091291,0.013988649996206417
InceptionV3,8,0.17412217258259874,0.27837308800937516,0.02004031460971338
InceptionV3,9,0.21817541466724324,0.32340393264280604,0.022823803149151885
InceptionV3,10,0.2174809047069638,0.2233334809070559,0.02509984967836509
InceptionV3,11,0.25263989364830086,0.19724269846529216,0.014750265424808824
InceptionV3,12,0.2801455622845606,0.17235428094622485,0.0160237577880315
InceptionV3,13,0.30889463977756954,0.13981889842082518,0.01483493042543497
InceptionV3,14,0.33459514413296504,0.107757874270964,0.014893247132421537
InceptionV3,15,0.37340815650511416,0.07014084927317303,0.014769661847018965
InceptionV3,16,0.39507459866499767,0.05212546169819437,0.005387693985807313
InceptionV3,17,0.4120553718859937,0.031301611803445685,0.00865005877963408
InceptionV3,18,0.4429631164360072,6.846771159012234e-05,0.008650441100702618
InceptionV3,19,0.44021577778078275,6.704759362167995e-05,0.0
MobileNetV2,1,0.0,0.0849379640465348,0.016913875150977795
MobileNetV2,2,0.008585088182944775,0.07887812239456003,0.0059516749100505225
MobileNetV2,3,0.04037403400832467,0.05387173813609274,0.0008983487355517597
MobileNetV2,4,0.052271527734832464,0.040474619014685374,0.0034810651890620084
MobileNetV2,5,0.05068659675909187,0.033941616465719776,0.0011166438704543495
MobileNetV2,6,0.0531761845333473,0.03067359325348966,0.0012468267430962177
MobileNetV2,7,0.06384182704367987,0.02467826539288825,0.0009998116495255984
MobileNetV2,8,0.06668715491382199,0.022800685286085875,0.0004194125841961012
MobileNetV2,9,0.06877399625888377,0.02084646460352919,0.0004149011955874352
MobileNetV2,10,0.08581100950945979,0.024807520973991443,0.0003862526035188558
MobileNetV2,11,0.08231181832629482,0.02423937440271465,0.0004089828654465766
MobileNetV2,12,0.0951448437675675,0.022199999257056645,0.0007475001347522553
MobileNetV2,13,0.09512404809949286,0.018094195109471793,0.0007779226965788104
MobileNetV2,14,0.07803353744898509,0.009038184183089014,0.0007303568580393246
MobileNetV2,15,0.08336966006217675,0.006963527753288727,0.00020374272063074968
MobileNetV2,16,0.08512858896827,0.005184263655740512,0.00017734727405938075
MobileNetV2,17,0.08642954155414583,0.003465588659907388,0.00019764087637701028
MobileNetV2,18,0.08911350712896646,0.0014263772053771328,0.0006105731184615114
ResNet18,1,0.014343980491126212,0.11035877526639239,0.07269909033519803
ResNet18,2,0.015494638512273482,0.10743746350366852,0.06951182614326633
ResNet18,3,0.017687375487850363,0.10757604801752567,0.0692860655522989
ResNet18,4,0.023663848946042083,0.10602818276479795,0.011945335045443551
ResNet18,5,0.05935291278688642,0.06872525960542034,0.013646275107319285
ResNet18,6,0.08343317222311547,0.045063254015197826,0.006946276797815603
ResNet18,7,0.12089920164606367,0.0292005557947116,0.003416707809192661
ResNet18,8,0.12804087401938757,0.0,0.0016542522873903233
VGG16,1,0.06488785848403694,0.9954411728615455,0.8953698936903381
VGG16,2,0.07295990744863187,1.0,0.913046068624631
VGG16,3,0.21662353095908307,0.8896406376865571,0.7858316833152517
VGG16,4,0.22408304085442785,0.839707735824686,1.0
VGG16,5,0.23308895064237894,0.8311990174147751,0.07693603613683449
VGG16,6,0.2922907820248325,0.7816627596168386,0.21742847676041316
VGG16,7,0.29697726667827573,0.7734034168452419,0.21306711093904118
VGG16,8,0.39914331308858786,0.6461470159466702,0.18781423088097884
VGG16,9,0.4047667626119271,0.6532645181028807,0.19423579750030714
VGG16,10,0.43987086767921135,0.6606736973873544,0.028501481293421994
VGG16,11,0.45847145991531374,0.6016692621981709,0.054628168897647114
VGG16,12,0.4589763366943825,0.6125591725462209,0.06205282493246187
VGG16,13,0.5503718998584229,0.49821279858787165,0.06415634907950053
VGG16,14,0.5441417247359422,0.5058008055576547,0.06540527094205231
VGG16,15,0.6352190581612285,0.3977870396697044,0.05798293432171997
VGG16,16,0.6282873781456842,0.4162280899455952,0.06101873565033538
VGG16,17,0.6444699445958301,0.4012969355230513,0.013704840323000395
VGG16,18,0.693182574691991,0.35659304199438635,0.02868172656118086
VGG16,19,0.7054293545038202,0.3574012425788636,0.029665228393922917
