bandwidth_mbps,model_name,split_index,static_network_delay_ms,system_inference_throughput_imgs_per_s,part1_inference_time_s,part2_inference_time_s,network_time_s,end_to_end_latency_s,intermediate_data_size_bytes,network_throughput_mbps
939,resnet50,1,0.0,0.0,0.0,1.0,0.105289536038422,10.051687061786652,6423081.0,101.65047854408272
939,resnet50,2,0.0,0.14127572505088473,0.13315408173809828,0.8388248026027167,0.9852747901135545,9.005013644695282,25690666.0,89.96418540941441
939,resnet50,3,0.0,0.30129889395381093,0.23036702842870782,0.7338405545433965,0.9420204371450046,8.060921609401703,25690666.0,92.35082780402482
939,resnet50,4,0.0,0.481243768988981,0.31390050413895854,0.6404032022399108,1.0,7.218374967575073,25690666.0,87.61578625828012
939,resnet50,5,0.0,0.8248723661787692,0.4345244870812944,0.5408512850170936,0.37858267314557975,6.10624361038208,12845610.0,93.69726107587393
939,resnet50,6,0.0,1.0,0.4810220892327265,0.48245465073869986,0.4358770708231458,5.613281071186066,12845610.0,80.06345525728833
939,resnet50,7,0.0,0.8017819857800019,0.5476010150565505,0.4260529638248245,0.4143075723073101,5.614770144224167,12845610.0,85.13704156693504
939,resnet50,8,0.0,0.6400205520491736,0.6036773570696123,0.3689075113082408,0.4542430122527641,5.609779715538025,12845610.0,79.93576936020989
939,resnet50,9,0.0,0.4611727687596107,0.6852090468272352,0.29315543381396675,0.12027068884184107,5.516033560037613,6423081.0,91.66090690392905
939,resnet50,10,0.0,0.3743501150304915,0.7303100595726151,0.255466163833561,0.12103733948957689,5.539955914020538,6423081.0,91.3271047694068
939,resnet50,11,0.0,0.30161646740889325,0.7689546820013461,0.2174632710466486,0.11978874646384961,5.536508172750473,6423081.0,91.9888616724868
939,resnet50,12,0.0,0.25505915528075696,0.8010800442683431,0.17845597629877302,0.1410263144072692,5.503441244363785,6423081.0,87.71575556684773
939,resnet50,13,0.0,0.19292639936255163,0.838400702077219,0.14377405789330389,0.12984042101480828,5.507703274488449,6423081.0,87.83328021375779
939,resnet50,14,0.0,0.1336282793417962,0.8814691452773424,0.1057148049891498,0.11876065508427619,5.521441459655762,6423081.0,92.51759782495466
939,resnet50,15,0.0,0.049584089964076275,0.9542394091624866,0.035677162431060276,0.0006231184096784875,5.480686187744141,3211817.0,97.38808959009522
939,resnet50,16,0.0,0.00048796568116579335,1.0,0.0,0.0,5.525248765945435,3211817.0,98.00175152884044
939,resnet18,1,0.0,0.5358361217945573,0.0,1.0,0.8985228128106071,2.24511057138443,6423081.0,97.85494469067096
939,resnet18,2,0.0,1.0,0.18995981316310045,0.7874729311284769,1.0,1.8388880491256716,6423081.0,89.78320366323925
939,resnet18,3,0.0,0.9772814215247083,0.348285929394934,0.643378686638489,0.38204377497847875,1.6651693880558014,3211817.0,90.69760035872424
939,resnet18,4,0.0,0.666846850715217,0.47671900559068,0.5075300826582985,0.3517897170803924,1.6450165212154388,3211817.0,93.62636838448006
939,resnet18,5,0.0,0.4650005330060861,0.6026336913159659,0.3949760531690878,0.11109054841406146,1.630789279937744,1606183.0,94.49428507124094
939,resnet18,6,0.0,0.27134113379121766,0.7365753777117764,0.2567474886192743,0.10670681244463652,1.616862654685974,1606183.0,96.2674163866619
939,resnet18,7,0.0,0.14693479857178068,0.8530408942208331,0.14700968265604683,0.0,1.610101968050003,803367.0,92.8778227141068
939,resnet18,8,0.0,0.0,1.0,0.0,0.002070640488735548,1.5999531745910645,803367.0,91.11976570844264
939,mobilenetv2,1,0.0,0.0,0.0,1.0,1.0,3.4809660017490387,12845609.0,94.93079395418196
939,mobilenetv2,2,0.0,0.17075461104296316,0.107852603621305,0.9011653923319792,0.4525656771288878,3.0703282356262207,6423081.0,97.3633154058178
939,mobilenetv2,3,0.0,1.0,0.4719935066994173,0.5633418663771501,0.08055981365279724,2.0630221366882324,2409001.0,294.394436548054
939,mobilenetv2,4,0.0,0.8450079283333408,0.5635869405945433,0.4287070072886518,0.1471417585755365,1.834668964147568,2409001.0,95.7628900881668
939,mobilenetv2,5,0.0,0.6117761346376276,0.6475017911928409,0.3614992568810738,0.042454533172016626,1.8410262763500211,803367.0,88.17671128840985
939,mobilenetv2,6,0.0,0.4648669037656601,0.7100941022604501,0.3524183760776429,0.03916115315029739,1.9297830760478971,803367.0,93.33833013329952
939,mobilenetv2,7,0.0,0.46858791966628244,0.7165119065488108,0.3054493944618705,0.04135924559045647,1.858261227607727,803367.0,89.87862366469642
939,mobilenetv2,8,0.0,0.4324170734073829,0.7407826446750788,0.25114987627837215,0.013028050617686705,1.8012375831604004,401958.0,88.77671551314674
939,mobilenetv2,9,0.0,0.33986166323233263,0.7830972521407026,0.23134491797826814,0.010011387658866146,1.8372565805912016,401958.0,97.47437579020624
939,mobilenetv2,10,0.0,0.28004486802114037,0.8152407511256552,0.220838400450086,0.011141417250525205,1.871706694364548,401958.0,93.75279177001036
939,mobilenetv2,11,0.0,0.3075914020602575,0.8044805894109535,0.19210571406652557,0.011392534937560704,1.8050932884216309,401958.0,92.61186457542988
939,mobilenetv2,12,0.0,0.2878542906107806,0.8188409863535301,0.15157207984710983,0.02546792509947714,1.7609826922416687,602662.0,92.6674959006662
939,mobilenetv2,13,0.0,0.18220981882112966,0.8871321657070987,0.11606140788553532,0.02581493886117279,1.812459707260132,602662.0,91.97735825591764
939,mobilenetv2,14,0.0,0.1095130866817236,0.9380695610288456,0.08011177494749037,0.024794011371405394,1.834044635295868,602662.0,94.17677640221626
