block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time
0,0.183,0.0035,12.25,117.34588399529456,0.0720225274562835
1,0.2665,0.0079,6.125,358.1649140268564,0.3247576206922531
2,1.3837,0.1046,2.2969,1275.3788573294878,0.6245838105678558
3,0.9603,0.2973,0.957,357.06026792526245,0.5934032797813416
4,0.9744,1.3192,0.4785,248.86500298976893,0.8088182657957077
5,1.9318,2.8676,0.6699,365.6735303252936,0.8134350180625916
6,1.8533,9.9728,0.2871,305.1542557775974,1.000550389289856
7,1.4631,8.7007,0.4785,147.25176081061363,0.4119759052991867
