block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time
0,0.183,0.0035,12.25,118.36473077535628,0.0720240175724029
1,0.1766,0.0055,6.125,224.35151889920235,0.1589041948318481
2,0.9454,0.0638,2.2969,979.614401459694,0.463305115699768
3,0.633,0.1779,0.957,308.12825605273247,0.3914709389209747
4,0.7142,0.9267,0.4785,191.39640264213085,0.5972679704427719
5,1.3987,2.0719,0.6699,250.22771075367928,0.606984868645668
6,1.4788,7.7299,0.2871,215.659918487072,0.7983178645372391
7,0.4757,2.736,0.4785,52.979265600442886,0.2102881669998169
