block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time
0,1.413,0.0068,98.0,865.965151,0.382392406
1,0.0257,0.0,98.0,96.18963659,0.223477036
2,29.6207,0.1409,98.0,1739.942511,0.650433153
3,0.0257,0.0,98.0,96.38008356,0.221618786
4,0.0257,0.0,24.5,142.1705447,0.198140442
5,14.8103,0.2817,49.0,821.4179479,0.328757092
6,0.0128,0.0,49.0,46.90449372,0.032842159
7,29.6079,0.563,49.0,1295.028992,0.603056774
8,0.0128,0.0,49.0,47.52976462,0.032670945
9,0.0128,0.0,12.25,48.68779309,0.096811876
10,14.8039,1.126,24.5,565.730188,0.276572779
11,0.0064,0.0,24.5,23.18337053,0.018293336
12,29.6014,2.251,24.5,1178.009729,0.546597168
13,0.0064,0.0,24.5,23.5538882,0.018284023
14,29.6014,2.251,24.5,1328.343671,0.542908609
15,0.0064,0.0,24.5,21.9352717,0.018274114
16,29.6014,2.251,24.5,1237.031565,0.545920655
17,0.0064,0.0,24.5,23.73045534,0.020190179
18,0.0064,0.0,6.125,24.68780279,0.022336319
19,14.8007,4.502,12.25,604.9875326,0.284496844
20,0.0032,0.0,12.25,10.42605884,0.012081936
21,29.5982,9.002,12.25,1252.900414,0.474500433
22,0.0032,0.0,12.25,10.43934226,0.012105256
23,29.5982,9.002,12.25,1258.924481,0.474792719
24,0.0032,0.0,12.25,10.99899665,0.012038276
25,29.5982,9.002,12.25,1253.03038,0.474684238
26,0.0032,0.0,12.25,10.61004028,0.012397692
27,0.0032,0.0,3.0625,12.32555613,0.015569627
28,7.3996,9.002,3.0625,295.3973617,0.155786723
29,0.0008,0.0,3.0625,2.728579417,0.007914603
30,7.3996,9.002,3.0625,294.9463801,0.155582428
31,0.0008,0.0,3.0625,2.945011035,0.008263066
32,7.3996,9.002,3.0625,293.4165246,0.155280679
33,0.0008,0.0,3.0625,3.054330274,0.007656738
34,7.3996,9.002,3.0625,292.429676,0.155323595
