block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),model,pi_execution_time,gpu_execution_time
0,2.8323,0.0538,36.75,densenet161,411.9145074,0.115006715
1,0.0193,0.0007,36.75,densenet161,44.37188759,0.048286766
2,0.0096,0.0,36.75,densenet161,35.60818478,0.026360005
3,0.0096,0.0,9.1875,densenet161,51.19368672,0.035191327
4,37.6404,2.8663,36.75,densenet161,2989.141871,1.505979747
5,3.7331,0.2842,4.5938,densenet161,377.9920989,0.189948082
6,25.8107,7.864,18.375,densenet161,1538.441001,1.35455668
7,3.7162,1.1309,2.2969,densenet161,210.6082472,0.113797933
8,36.1353,44.053,12.6328,densenet161,2562.50669,3.246781975
9,7.0057,8.5239,1.5791,densenet161,325.0457121,0.211658776
10,7.4207,36.189,3.3018,densenet161,4213.987,1.531356
11,0.0017,0.0168,3.3018,densenet161,15.48104078,0.034353733

