Block,FLOPs (G),Param Memory (MB),Activation Size (MB)
0,1.9139,0.0364,6.125
1,3.709,0.2822,6.125
2,3.709,0.2822,3.0625
3,2.8837,0.8779,3.0625
4,3.7042,1.127,1.5312
5,2.8805,3.5059,1.5312
6,3.7018,4.5039,0.7656
7,2.8789,14.0117,0.7656
8,3.7006,18.0078,0.0
