block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time
0,0.183,0.0035,12.25,121.34602725505827,0.0719758123159408
1,0.2665,0.0079,6.125,360.8529627323151,0.3225636482238769
2,1.3837,0.1046,2.2969,1167.175355553627,0.6235315650701523
3,1.2213,0.3934,1.1484,351.99280954897404,0.5996295064687729
4,1.2069,1.6081,0.5264,279.6982291340828,0.7990400493144989
5,2.2143,3.2912,0.7178,386.00104719400406,0.8120717853307724
6,2.1565,11.6305,0.311,323.4864730387926,1.0176338255405426
7,1.7551,10.4363,0.5264,167.15365208685398,0.4212004691362381
