model_name,bandwidth_mbps,split_index,part1_inference_time_s,part2_inference_time_s,network_time_s,system_inference_throughput_imgs_per_s
resnet50,1.5,1,0.0,1.0,0.999,0.0
resnet50,1.5,2,0.084,0.869,0.996,0.001
resnet50,1.5,3,0.185,0.75,1.0,0.001
resnet50,1.5,4,0.334,0.627,0.493,0.165
resnet50,1.5,5,0.401,0.575,0.495,0.165
resnet50,1.5,6,0.46,0.519,0.497,0.164
resnet50,1.5,7,0.518,0.45,0.5,0.164
resnet50,1.5,8,0.617,0.364,0.254,0.467
resnet50,1.5,9,0.661,0.331,0.254,0.455
resnet50,1.5,10,0.709,0.28,0.254,0.453
resnet50,1.5,11,0.755,0.244,0.254,0.473
resnet50,1.5,12,0.783,0.198,0.254,0.447
resnet50,1.5,13,0.832,0.158,0.254,0.451
resnet50,1.5,14,0.914,0.081,0.126,1.0
resnet50,1.5,15,0.914,0.042,0.126,0.996
resnet50,1.5,16,0.99,0.0,0.126,0.905
resnet50,1.5,17,0.998,0.0,0.126,0.979
resnet50,1.5,18,1.0,0.0,0.126,0.976
resnet50,0.095,1,0.0,1.0,0.0,0.0
resnet50,0.095,2,0.133,0.839,0.002,0.141
resnet50,0.095,3,0.23,0.734,0.002,0.301
resnet50,0.095,4,0.314,0.64,0.002,0.481
resnet50,0.095,5,0.435,0.541,0.001,0.825
resnet50,0.095,6,0.481,0.482,0.001,1.0
resnet50,0.095,7,0.548,0.426,0.001,0.802
resnet50,0.095,8,0.604,0.369,0.001,0.64
resnet50,0.095,9,0.685,0.293,0.0,0.461
resnet50,0.095,10,0.73,0.255,0.0,0.374
resnet50,0.095,11,0.769,0.217,0.0,0.302
resnet50,0.095,12,0.801,0.178,0.0,0.255
resnet50,0.095,13,0.838,0.144,0.0,0.193
resnet50,0.095,14,0.881,0.106,0.0,0.134
resnet50,0.095,15,0.954,0.036,0.0,0.05
resnet50,0.095,16,1.0,0.0,0.0,0.0
resnet50,5.0,1,0.001,0.015,0.305,0.008
resnet50,5.0,2,0.104,0.015,0.306,0.006
resnet50,5.0,3,0.197,0.01,0.306,0.003
resnet50,5.0,4,0.332,0.01,0.153,0.251
resnet50,5.0,5,0.39,0.01,0.153,0.245
resnet50,5.0,6,0.445,0.008,0.152,0.239
resnet50,5.0,7,0.507,0.008,0.152,0.234
resnet50,5.0,8,0.611,0.007,0.076,0.609
resnet50,5.0,9,0.658,0.006,0.076,0.614
resnet50,5.0,10,0.703,0.005,0.076,0.6
resnet50,5.0,11,0.736,0.005,0.076,0.591
resnet50,5.0,12,0.786,0.004,0.076,0.578
resnet50,5.0,13,0.829,0.003,0.076,0.565
resnet50,5.0,14,0.915,0.002,0.038,1.0
resnet50,5.0,15,0.954,0.001,0.038,0.977
resnet50,5.0,16,0.998,0.0,0.038,0.949
resnet50,5.0,17,0.979,0.0,0.038,0.958
resnet50,5.0,18,1.0,0.0,0.038,0.951
resnet50,5.0,1,0.0,1.0,0.281,0.004
resnet50,5.0,2,0.085,0.89,0.286,0.003
resnet50,5.0,3,0.195,0.788,0.292,0.0
resnet50,5.0,4,0.336,0.666,0.144,0.248
resnet50,5.0,5,0.399,0.6,0.147,0.244
resnet50,5.0,6,0.452,0.534,0.151,0.238
resnet50,5.0,7,0.506,0.474,0.153,0.23
resnet50,5.0,8,0.604,0.392,0.076,0.594
resnet50,5.0,9,0.651,0.344,0.076,0.58
resnet50,5.0,10,0.689,0.3,0.076,0.587
resnet50,5.0,11,0.733,0.259,0.076,0.561
resnet50,5.0,12,0.788,0.217,0.076,0.546
resnet50,5.0,13,0.813,0.181,0.076,0.539
resnet50,5.0,14,0.903,0.089,0.038,0.966
resnet50,5.0,15,0.942,0.045,0.038,0.945
resnet50,5.0,16,0.958,0.001,0.038,0.941
resnet50,5.0,17,0.996,0.001,0.038,0.92
resnet50,5.0,18,0.993,0.001,0.038,0.924
resnet50,1.0,1,0.0,1.0,0.04,0.0
resnet50,1.0,2,0.087,0.89,0.035,0.133
resnet50,1.0,3,0.191,0.778,0.032,0.302
resnet50,1.0,4,0.327,0.661,0.017,1.0
resnet50,1.0,5,0.383,0.581,0.02,0.93
resnet50,1.0,6,0.446,0.53,0.022,0.801
resnet50,1.0,7,0.507,0.471,0.022,0.68
resnet50,1.0,8,0.59,0.393,0.018,0.673
resnet50,1.0,9,0.654,0.342,0.019,0.571
resnet50,1.0,10,0.693,0.302,0.02,0.54
resnet50,1.0,11,0.738,0.257,0.021,0.463
resnet50,1.0,12,0.767,0.209,0.021,0.382
resnet50,1.0,13,0.827,0.168,0.022,0.333
resnet50,1.0,14,0.901,0.085,0.015,0.916
resnet50,1.0,15,0.928,0.041,0.015,0.931
resnet50,1.0,16,0.995,0.0,0.016,0.757
resnet50,1.0,17,0.994,0.0,0.016,0.772
resnet50,1.0,18,1.0,0.0,0.016,0.815
resnet50,2.0,1,0.0,1.0,0.738,0.0
resnet50,2.0,2,0.094,0.883,0.74,0.0
resnet50,2.0,3,0.194,0.777,0.744,0.0
resnet50,2.0,4,0.325,0.658,0.367,0.179
resnet50,2.0,5,0.39,0.587,0.374,0.174
resnet50,2.0,6,0.447,0.521,0.373,0.177
resnet50,2.0,7,0.508,0.458,0.376,0.175
resnet50,2.0,8,0.598,0.387,0.189,0.51
resnet50,2.0,9,0.649,0.343,0.19,0.487
resnet50,2.0,10,0.692,0.29,0.19,0.468
resnet50,2.0,11,0.74,0.251,0.19,0.478
resnet50,2.0,12,0.768,0.211,0.19,0.476
resnet50,2.0,14,0.908,0.085,0.095,1.0
resnet50,2.0,15,0.962,0.042,0.095,0.936
resnet50,2.0,16,1.0,0.0,0.095,0.931
resnet50,2.0,17,0.999,0.0,0.095,0.966
resnet50,2.0,18,0.982,0.0,0.095,0.94
