model_name,bandwidth_mbps,split_index,part1_inference_time_s,part2_inference_time_s,network_time_s,system_inference_throughput_imgs_per_s
resnet50,1.5,1,0.0,1.0,0.9991339247281686,0.0
resnet50,1.5,2,0.0838531148610441,0.8694482390363759,0.9962564211893404,0.0006128022785417
resnet50,1.5,3,0.1849235996816377,0.7498369684583424,1.0,0.0006026275622449
resnet50,1.5,4,0.3344122277241574,0.6273830569960798,0.4933324933525086,0.1649470084167116
resnet50,1.5,5,0.400565007171242,0.5749120781822221,0.4952227855574261,0.16474155400247
resnet50,1.5,6,0.4597774075066501,0.518684751201449,0.4974858829124168,0.1642678331153176
resnet50,1.5,7,0.5180590723563913,0.450468493492014,0.4997841729949824,0.1641672106234456
resnet50,1.5,8,0.6167435699067297,0.3635810432254848,0.2536704995797866,0.46709246409668
resnet50,1.5,9,0.6612359557116134,0.3310098570445529,0.2539772183291631,0.4546905753642512
resnet50,1.5,10,0.7091346766122724,0.2803877592180017,0.2539731887821048,0.4530914352436854
resnet50,1.5,11,0.7547087422238284,0.2435317945152142,0.2539808197735885,0.4734442435978825
resnet50,1.5,12,0.7829124461598015,0.1975285411581141,0.2539751935617824,0.4465291398421506
resnet50,1.5,13,0.8322608224141055,0.1580922070645418,0.2539756856773204,0.4513652147676951
resnet50,1.5,14,0.9139041795727988,0.081081476307451,0.126308181262475,1.0
resnet50,1.5,15,0.913836111449584,0.0416180425042234,0.1262957440775635,0.9962407262594308
resnet50,1.5,16,0.9903930154986266,3.861798518772658e-05,0.1262787605393638,0.9054254817306298
resnet50,1.5,17,0.9978568774077438,3.7491327643461553e-05,0.1262803359100228,0.9786608107769538
resnet50,1.5,18,1.0,0.0,0.1262695850079263,0.9759368992655922
resnet50,0.095,1,0.0,1.0,0.0002276711234268,0.0
resnet50,0.095,2,0.1331540817380982,0.8388248026027167,0.002130492989042,0.1412757250508847
resnet50,0.095,3,0.2303670284287078,0.7338405545433965,0.0020369626392658,0.3012988939538109
resnet50,0.095,4,0.3139005041389585,0.6404032022399108,0.0021623338082125,0.481243768988981
