model_name,bandwidth_mbps,split_index,part1_inference_time_s,part2_inference_time_s,network_time_s,system_inference_throughput_imgs_per_s
resnet18,1.5,1,0.0,1.0,0.9947271063871208,0.0
resnet18,1.5,2,0.2046969178935214,0.7949407870692637,1.0,7.85451347314834e-05
resnet18,1.5,3,0.3451992978007095,0.6630751725456859,0.4921140785776874,0.1429332498810017
resnet18,1.5,4,0.4686238946173095,0.5209860691187589,0.4961614993680627,0.142957292337078
resnet18,1.5,5,0.5900020650415713,0.4000558776282305,0.2437227820204218,0.4287678696139915
resnet18,1.5,6,0.7344671958566326,0.2722566613534129,0.2474088255617817,0.4287115149104283
resnet18,1.5,7,0.8555414091928838,0.1442316925724927,0.1231204522300077,1.0
resnet18,1.5,8,1.0,0.0,0.1272478175296251,0.9995120997671938
resnet18,0.095,1,0.0,1.0,0.001838462742209,0.5358361217945573
resnet18,0.095,2,0.1899598131631004,0.7874729311284769,0.0020460946745005,1.0
resnet18,0.095,3,0.348285929394934,0.643378686638489,0.0007816977334095,0.9772814215247084
resnet18,0.095,4,0.47671900559068,0.5075300826582985,0.0007197950666622,0.666846850715217
resnet18,0.095,5,0.6026336913159659,0.3949760531690878,0.0002273017794973,0.4650005330060861
resnet18,0.095,6,0.7365753777117764,0.2567474886192743,0.0002183322406758,0.2713411337912176
resnet18,0.095,7,0.8530408942208331,0.1470096826560468,0.0,0.1469347985717806
resnet18,0.095,8,1.0,0.0,4.236726476807018e-06,0.0
resnet18,5.0,1,0.0120357406900877,1.0,0.2792028731360177,8.331593092937175e-05
resnet18,5.0,2,0.1947651606417256,0.7883632551547248,0.2853749584175117,0.0
resnet18,5.0,3,0.3608935972787682,0.6530490528037204,0.1348245875861189,0.2085990866545843
resnet18,5.0,4,0.4925308528104001,0.5138147153714459,0.1436999691920399,0.1945105997718147
resnet18,5.0,5,0.5991149676169379,0.3922931333219263,0.075018685130831,0.510489212260331
resnet18,5.0,6,0.7246034289815086,0.261447774573926,0.0750182238017379,0.4701522544981906
resnet18,5.0,7,0.8530374839698902,0.146414240977095,0.0366559480203199,0.8548758724582385
resnet18,5.0,8,0.9939156203875712,0.0021119732892716,0.0366553479259491,0.784155114272122
resnet18,5.0,1,0.0,0.0228089858404026,0.305747668511557,0.0010750978302593
resnet18,5.0,2,0.2063218362501652,0.0139401550316267,0.3060018582236377,0.0010063037397331
resnet18,5.0,3,0.3346655535448594,0.0138268685169867,0.15251347195695,0.2087800876801602
resnet18,5.0,4,0.4958299313488248,0.0110742581875946,0.1517712892727535,0.202101354105067
resnet18,5.0,5,0.6110024026440782,0.0085533804034315,0.0749992344280355,0.5551222986248792
resnet18,5.0,6,0.7332369799666119,0.0052327262234335,0.0749945787220574,0.5205414158262683
resnet18,5.0,7,0.855627540715573,0.0037070350737037,0.0366418175259078,1.0
resnet18,5.0,8,1.0,0.0,0.0366480179774302,0.9095979039281956
resnet18,1.0,1,0.0,1.0,0.0229317457739356,0.0
resnet18,1.0,2,0.2072383658950918,0.7954583739548899,0.0268897556449156,0.0713928155662781
resnet18,1.0,3,0.333240122598845,0.6706288095604341,0.0131521376762101,1.0
resnet18,1.0,4,0.4839861900272303,0.5178281113174532,0.0209467330873842,0.7426459053140326
resnet18,1.0,5,0.5974143963696682,0.3950798738699097,0.0185949889066677,0.5981958888875707
resnet18,1.0,6,0.7325161359534034,0.2567652667540391,0.0186069944595818,0.3190199635148812
resnet18,1.0,7,0.85769526085064,0.1458912545716147,0.0174813294794508,0.2107858565867569
resnet18,1.0,8,1.0,0.0,0.0174995621896578,0.0546299408014761
resnet18,2.0,1,0.0,1.0,0.7382168618403309,1.1125235216027902e-05
resnet18,2.0,2,0.1923861437018267,0.7947939328652633,0.744104705039731,0.0
resnet18,2.0,3,0.3521733265953769,0.650503079932678,0.3648789156559263,0.1426517316320633
resnet18,2.0,4,0.4722306481103648,0.5147040476996726,0.3686239574805888,0.1427488760599275
resnet18,2.0,5,0.5998497351723563,0.4000378112635323,0.1799013491301484,0.4286173886619
resnet18,2.0,6,0.7367498820805991,0.2599099216456202,0.1838604968764057,0.4286551668311624
resnet18,2.0,7,0.8513945128895088,0.1452935129517437,0.0911928538106408,1.0
resnet18,2.0,8,1.0,0.0,0.09496704576919,0.9991545929310328
